host_response_rate,bathrooms,bedrooms,price,review_scores_rating,host_verifications_identity_manual,host_verifications_selfie,host_verifications_jumio,host_verifications_reviews,host_verifications_phone,host_verifications_offline_government_id,host_verifications_email,host_verifications_government_id,Verification_Numbers
1,1,2,129,4.84,1,1,1,1,1,1,1,1,8
0.92,1,2,164,4.86,1,1,0,1,1,1,1,1,7
0.95,1,2,250,4.66,1,1,1,1,1,0,1,1,7
0.95,1,2,202,4.79,1,1,1,1,1,0,1,1,7
0.95,1,2,220,4.76,1,1,1,1,1,0,1,1,7
0.95,1,2,260,4.83,1,1,1,1,1,0,1,1,7
0.95,1,3,209,4.79,1,1,1,1,1,0,1,1,7
1,1,1,53,4.74,0,0,1,1,1,0,1,1,5
1,1,1,228,4.97,0,0,0,1,1,1,1,1,5
0,1,1,117,4.89,1,1,1,1,1,1,1,1,8
0,1,1,57,4.91,0,0,0,1,1,0,1,0,3
0,1,2,175,4.75,0,0,0,1,1,0,1,0,3
0,1,3,285,4.95,0,0,1,1,1,1,1,1,6
1,1,1,63,4.85,0,0,1,1,1,0,1,1,5
1,1,1,88,4.96,0,0,0,1,1,0,1,0,3
0,1,1,50,0,0,0,1,0,1,0,1,1,4
1,1,1,175,4.86,0,0,1,1,1,0,1,1,5
1,1,2,78,4.98,0,0,0,1,1,0,1,0,3
1,1,2,428,4.88,0,0,0,1,1,0,1,0,3
0,1,1,77,4.94,0,0,1,1,1,0,1,1,5
1,1,2,199,5,0,0,1,1,1,1,1,1,6
1,1,2,121,4.91,1,1,0,1,1,1,1,1,7
0,1,1,199,5,0,0,0,1,1,0,1,0,3
1,1,1,93,4.95,0,0,1,1,1,1,1,1,6
0,1,1,95,4.75,1,1,1,1,1,1,1,1,8
0.98,1,3,392,4.7,1,1,1,1,1,1,1,1,8
0.95,1,2,208,4.76,1,1,1,1,1,0,1,1,7
0.95,1,3,196,4.73,1,1,1,1,1,0,1,1,7
0.95,1,3,247,4.72,1,1,1,1,1,0,1,1,7
0,1,1,75,4.9,0,0,1,1,1,0,1,1,5
1,1,1,65,4.95,1,1,1,1,1,1,1,1,8
1,1,2,150,4.92,0,0,0,1,1,0,1,0,3
1,1,1,121,4.67,0,1,0,1,1,1,1,1,6
0,1,3,425,0,0,0,0,1,1,1,1,1,5
1,1,2,181,4.7,0,0,1,1,1,1,1,1,6
1,1,2,164,4.7,0,0,1,1,1,1,1,1,6
0,1,1,40,4.73,0,0,0,1,1,0,1,0,3
0,1,1,100,4.8,0,0,1,1,1,0,1,1,5
0,1,1,63,4.45,0,0,0,1,1,0,1,0,3
